cr_dosage,mixing_temp,mixing_time,cr_size,base_viscosity,crmb_viscosity,RPM
10,177,1,10,0.088,0.15,500
10,177,1,10,0.1,0.2,500
10,177,1,10,0.125,0.35,500
10,177,1,10,0.15,0.425,500
10,177,1,10,0.225,0.9,500
10,177,1,40,0.088,0.5,500
10,177,1,40,0.1,0.75,500
10,177,1,40,0.125,1.08,500
10,177,1,40,0.15,1.38,500
10,177,1,40,0.225,2,500
20,177,1,10,0.088,5.75,500
20,177,1,10,0.125,9.5,500
20,177,1,10,0.1,8,500
20,177,1,10,0.088,5.75,500
20,260,6.5,10,2.386,4.54,4000
20,177,1,10,0.1,8,500
20,177,1,10,0.1,8,500
9,180,1.5,25,0.18,2.3,1200
9,180,1.5,30,0.18,1.8,1200
9,180,1.5,45,0.18,1.7,1200
9,180,1.5,50,0.18,1.4,1200
10,176,0.25,14,0.18,1.8,700
10,176,0.25,14,0.39,1.5,700
10,176,0.25,14,0.583,2.5,700
10,176,0.5,30,0.18,1.73,700
10,176,0.5,30,0.39,1.8,700
10,176,0.5,30,0.583,2.6,700
10,176,0.75,40,0.18,1.45,700
10,176,0.75,40,0.39,1.3,700
10,176,0.75,40,0.583,2.02,700
15,176,0.75,40,0.39,2.9,700
9,180,1.5,140,0.18,0.55,1200
9,180,1.5,45,2.493312344,2.844670623,8200
9,180,1.5,45,2.493312344,13.0154629,100
9,180,1.5,45,2.493312344,6.132644718,1200
9,90,1.5,45,2.493312344,5.311829388,1200
9,120,1.5,45,2.493312344,5.571751402,1200
9,210,1.5,45,2.493312344,4.5989312,1200
9,250,1.5,45,2.493312344,5.184068782,1200
10,175,1.5,40,0.067941823,0.147160187,2000
10,175,1.5,40,0.138479165,0.322771483,2000
10,175,1.5,40,0.18600593,0.709561269,2000
20,175,1.5,40,0.067941823,0.195399654,2000
20,175,1.5,40,0.138479165,0.507525879,2000
20,175,1.5,40,0.18600593,1.076651843,2000
30,175,1.5,40,0.067941823,0.2560532,2000
30,175,1.5,40,0.138479165,0.687307497,2000
30,175,1.5,40,0.18600593,1.178503322,2000
9,180,1.5,45,2.493312344,2.844670623,8200
9,180,1.5,45,2.493312344,11.82817467,100
9,180,1.5,45,2.493312344,13.0154629,100
9,180,1.5,45,2.493312344,6.132644718,1200
9,90,1.5,45,2.493312344,5.311829388,1200
9,120,1.5,45,2.493312344,5.571751402,1200
9,210,1.5,45,2.493312344,4.5989312,1200
9,250,1.5,45,2.493312344,5.184068782,1200
10,177,1,10,0.088,0.15,500
10,177,1,10,0.1,0.2,500
10,177,1,10,0.125,0.35,500
10,177,1,10,0.15,0.425,500
10,177,1,10,0.225,0.9,500
10,177,1,40,0.088,0.5,500
10,177,1,40,0.1,0.75,500
10,177,1,40,0.125,1.08,500
10,177,1,40,0.15,1.38,500
10,177,1,40,0.225,2,500
20,177,1,10,0.088,5.75,500
20,260,6.5,10,2.386,4.54,4000
9,180,1.5,25,0.18,2.3,1200
9,180,1.5,30,0.18,1.8,1200
9,180,1.5,45,0.18,1.7,1200
9,180,1.5,50,0.18,1.4,1200
10,176,0.25,14,0.18,1.8,700
10,176,0.25,14,0.39,1.5,700
10,176,0.25,14,0.583,2.5,700
10,176,0.5,30,0.18,1.73,700
10,176,0.5,30,0.39,1.8,700
10,176,0.5,30,0.583,2.6,700
10,176,0.75,40,0.18,1.45,700
10,176,0.75,40,0.39,1.3,700
10,176,0.75,40,0.583,2.02,700
15,176,0.75,40,0.39,2.9,700
9,180,1.5,140,0.18,0.55,1200
9,180,1.5,45,2.493312344,2.844670623,8200
9,180,1.5,45,2.493312344,13.0154629,100
9,180,1.5,45,2.493312344,6.132644718,1200
9,90,1.5,45,2.493312344,5.311829388,1200
9,120,1.5,45,2.493312344,5.571751402,1200
9,210,1.5,45,2.493312344,4.5989312,1200
9,250,1.5,45,2.493312344,5.184068782,1200
10,175,1.5,40,0.067941823,0.147160187,2000
10,175,1.5,40,0.138479165,0.322771483,2000
10,175,1.5,40,0.18600593,0.709561269,2000
20,175,1.5,40,0.067941823,0.195399654,2000
20,175,1.5,40,0.138479165,0.507525879,2000
20,175,1.5,40,0.18600593,1.076651843,2000
30,175,1.5,40,0.067941823,0.2560532,2000
30,175,1.5,40,0.138479165,0.687307497,2000
30,175,1.5,40,0.18600593,1.178503322,2000
9,180,1.5,45,2.493312344,2.844670623,8200
9,180,1.5,45,2.493312344,11.82817467,100
9,180,1.5,45,2.493312344,13.0154629,100
9,180,1.5,45,2.493312344,6.132644718,1200
9,90,1.5,45,2.493312344,5.311829388,1200
9,120,1.5,45,2.493312344,5.571751402,1200
9,210,1.5,45,2.493312344,4.5989312,1200
9,250,1.5,45,2.493312344,5.184068782,1200
